id,name,industry,location,askingPrice,revenue,ebitda,yearEstablished,employees,matchScore,isFeatured,description,images,highlights,reasonForSelling
1,SaaS Analytics Platform,Technology,"Austin, TX",12500000,2500000,1250000,2018,25,92,True,"Established SaaS platform providing advanced analytics and business intelligence tools for mid-market companies. Features include real-time dashboards, custom reporting, and API integrations. Strong r...",https://images.unsplash.com/photo-1551434678-e076c223a692?w=800&q=80; https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800&q=80,200+ enterprise clients with 95% retention rate | 40% YoY growth over the past 3 years | Modern tech stack with scalable infrastructure | Recurring revenue model with annual contracts | Strong brand presence in the industry,Founder looking to pursue a new venture
2,Premium Outdoor Gear E-commerce,Retail,"Denver, CO",8000000,3200000,960000,2015,12,75,True,"Thriving e-commerce business specializing in premium outdoor gear and equipment. Strong brand loyalty with engaged customer base of 50,000+ outdoor enthusiasts. Excellent margins on curated product se...",https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=800&q=80; https://images.unsplash.com/photo-1445991842772-097fea258e7b?w=800&q=80,"50,000+ active customers with 65% repeat purchase rate | Strong social media presence (100K+ followers) | Diversified supplier relationships | Owned warehouse and inventory system",Owner relocating out of state for family reasons
3,Medical Billing Services Company,Healthcare,"Phoenix, AZ",5400000,1800000,720000,2012,35,91,True,Professional medical billing and coding services serving 75+ healthcare providers across multiple states. Excellent relationships with insurance companies and proven track record of maximizing reimbur...,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=800&q=80,75+ healthcare provider clients | Average client relationship of 8+ years | HIPAA compliant systems and processes | Proprietary software for claims management,Retirement - owner ready to exit after 12 successful years
4,Specialty Coffee Roastery Chain,Food & Beverage,"Seattle, WA",7500000,2800000,840000,2014,28,80,True,Popular coffee roastery with 5 retail locations and wholesale distribution to 50+ cafes and restaurants. Known for single-origin beans and expert roasting. Strong community following and excellent onl...,https://images.unsplash.com/photo-1447933601403-0c6688de566e?w=800&q=80; https://images.unsplash.com/photo-1559925393-8be0ec4767c8?w=800&q=80,5 profitable retail locations | Wholesale accounts with 50+ businesses | Award-winning roasting techniques | Strong brand recognition in region,Owner wants to focus on family
5,Digital Marketing Agency,Professional Services,"Remote (HQ: San Francisco, CA)",6200000,2100000,840000,2016,18,82,True,"Full-service digital marketing agency specializing in B2B lead generation. Services include SEO, PPC, content marketing, and marketing automation. 40+ active retainer clients with average relationship...",https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=800&q=80,"40+ active retainer clients | 92% client retention rate | Fully remote, location-independent | Proven systems and SOPs",Founder starting new venture in different industry
6,Custom Packaging Manufacturing,Manufacturing,"Chicago, IL",15000000,4100000,1640000,2010,45,95,False,B2B custom packaging manufacturer serving food and beverage industry. State-of-the-art facility with modern equipment. Long-term contracts with major brands. Strong margins and consistent cash flow. O...,https://images.unsplash.com/photo-1566576721346-d4a3b4eaeb55?w=800&q=80,"30+ enterprise clients with multi-year contracts | Modern 50,000 sq ft facility (owned) | Eco-friendly product line gaining traction | Consistent 15% profit margins",Owner pursuing larger acquisition opportunity
7,Physical Therapy Clinic Group,Healthcare,"Atlanta, GA",4800000,1600000,640000,2011,22,87,False,Three established physical therapy clinics in growing suburban markets. Mix of cash and insurance patients. Experienced staff willing to stay. Strong reputation and referral network. Excellent opportu...,https://images.unsplash.com/photo-1576091160550-2173dba999ef?w=800&q=80,3 profitable clinic locations | Experienced staff with low turnover | Strong referral network with physicians | Mix of cash and insurance revenue,Owner health issues requiring retirement
8,Boutique Fitness Studio,Health & Fitness,"Miami, FL",950000,480000,192000,2017,8,83,False,"High-end boutique fitness studio with strong membership base and excellent retention. Offers small group training, personal training, and specialized classes. Prime location with 5-year lease. Turnkey...",https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=800&q=80,250+ active members | 85% retention rate | Prime location with parking | Fully equipped and modern,Owner moving to different city
9,Managed IT Services Provider,Technology,"Boston, MA",9200000,3100000,1240000,2013,32,90,False,"Established MSP serving 80+ small and medium businesses. Comprehensive services including network management, cybersecurity, cloud solutions, and help desk. Recurring revenue model with excellent marg...",https://images.unsplash.com/photo-1551434678-e076c223a692?w=800&q=80,80+ business clients with MRR of $260K | 95% recurring revenue | Strong cybersecurity practice | Experienced technical team,Founder accepting executive role at enterprise company
10,Craft Brewery & Taproom,Food & Beverage,"Portland, OR",5600000,1900000,570000,2015,19,89,False,Award-winning craft brewery with popular taproom and distribution to 200+ retail accounts across three states. Known for innovative IPAs and seasonal releases. Food service partnership generates addit...,https://images.unsplash.com/photo-1532634922-8fe0b757fb13?w=800&q=80,Award-winning beers with loyal following | 200+ retail distribution accounts | Popular taproom with food service | Modern brewing equipment,Partners pursuing separate opportunities
11,E-Learning Platform,Education,"Remote (HQ: New York, NY)",8800000,2200000,1100000,2017,15,90,False,"B2C e-learning platform offering professional development courses. 15,000+ active students, 200+ courses covering business, technology, and creative skills. Subscription and course-based revenue model...",https://images.unsplash.com/photo-1516321318423-f06f85e504b3?w=800&q=80,"15,000+ active paying students | 200+ high-quality courses | 70% gross margins | Growing market demand",Founder wants to travel and work on passion projects
12,Commercial Cleaning Service,Professional Services,"Dallas, TX",3200000,1400000,420000,2009,65,87,False,"Commercial cleaning company serving office buildings, medical facilities, and retail spaces. 120+ recurring clients with long-term contracts. Well-trained staff, modern equipment, and proven systems. ...",https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=800&q=80,120+ recurring contracts | Avg client relationship of 5+ years | Low employee turnover | Strong operational systems,Retirement after 15 years
13,Pet Grooming & Daycare,Retail,"San Diego, CA",1800000,720000,288000,2016,12,92,False,Upscale pet grooming salon and daycare facility in affluent neighborhood. State-of-the-art facility with modern equipment. Strong recurring revenue from daycare memberships. Excellent reputation and 5...,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?w=800&q=80,"Modern 4,000 sq ft facility | 250+ regular clients | 5-star reputation | High-income demographic",Owner relocating for family reasons
14,Mobile App Development Studio,Technology,"Remote (HQ: Los Angeles, CA)",4500000,1500000,600000,2014,16,93,False,Boutique mobile app development studio specializing in iOS and Android apps for startups and SMBs. Portfolio of 100+ successful apps. Recurring revenue from maintenance contracts and ongoing projects....,https://images.unsplash.com/photo-1551650975-87deedd944c3?w=800&q=80,100+ successful app launches | 35% recurring revenue from maintenance | Strong portfolio and case studies | Fully remote team,Founder accepting CTO role at startup
15,HVAC Service Company,Construction,"Charlotte, NC",6800000,2400000,960000,2008,28,81,False,"Established HVAC installation and service company serving residential and light commercial customers. 85% recurring revenue from maintenance contracts. Fleet of 12 vehicles, modern equipment, and skil...",https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=800&q=80,"1,800+ maintenance contract customers | 85% recurring revenue | Fleet of 12 service vehicles | Strong brand in market",Owner wants to semi-retire
